Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
02-28-2023,100,100
03-01-2023,100.84,100.19
03-02-2023,100.72,100.61
03-03-2023,102.12,101.82
03-06-2023,100.81,101.49
03-07-2023,99.71,100.31
03-08-2023,99.89,100.67
03-09-2023,97.84,99.42
03-10-2023,94.56,97.88
03-13-2023,95.15,96.96
03-14-2023,95.66,97.56
03-15-2023,94.06,96.01
03-16-2023,95,96.84
03-17-2023,94.04,96.09
03-20-2023,94.09,96.74
03-21-2023,95.05,97.43
03-22-2023,93.99,96.82
03-23-2023,94.2,96.47
03-24-2023,94.1,96.69
03-27-2023,94.62,97.32
03-28-2023,93.26,97.49
03-29-2023,95.36,98.38
03-30-2023,95.84,98.99
03-31-2023,96.95,99.78
04-03-2023,98.38,100.71
04-04-2023,98.09,100.7
04-05-2023,96.84,100.18
04-06-2023,97.01,100.37
04-10-2023,97.33,100.76
04-11-2023,98.08,101.49
04-12-2023,98.17,101.65
04-13-2023,98.84,102.2
04-14-2023,98.75,102.28
04-17-2023,99.82,102.59
04-18-2023,99.97,102.8
04-19-2023,100.49,102.78
04-20-2023,99.85,102.53
04-21-2023,100.2,102.84
04-24-2023,100.17,102.82
04-25-2023,99.02,101.65
04-26-2023,98.65,101.28
04-27-2023,99.27,102.11
04-28-2023,101.06,102.68
05-01-2023,102.1,102.58
05-02-2023,100.68,101.54
05-03-2023,100.19,101.28
05-04-2023,100.01,100.7
05-05-2023,102.25,102.21
05-08-2023,102.51,102.43
05-09-2023,103.4,102.44
05-10-2023,102.57,102.02
05-11-2023,102.16,101.62
05-12-2023,102.65,101.69
05-15-2023,103.65,102.29
05-16-2023,102.7,100.82
05-17-2023,103.18,101.09
05-18-2023,102.91,101.1
05-19-2023,103.2,101.37
05-23-2023,102.52,100.38
05-24-2023,101.64,99.29
05-25-2023,100.61,98.53
05-26-2023,101.45,99.26
05-29-2023,102.5,99.5
05-30-2023,101.52,98.43
05-31-2023,101.37,97.6
06-01-2023,102.19,98.11
06-02-2023,103.89,99.89
06-05-2023,103.61,99.43
06-06-2023,104.17,100.05
06-07-2023,103.72,99.69
06-08-2023,103.51,99.53
06-09-2023,103.48,99.28
06-12-2023,103.47,99.42
06-13-2023,103.72,99.77
06-14-2023,103.84,99.97
06-15-2023,103.71,100.08
06-16-2023,103.22,99.82
06-19-2023,103.33,99.61
06-20-2023,102.75,98.71
06-21-2023,103.31,98.48
06-22-2023,102.83,97.86
06-23-2023,102.21,97.06
06-26-2023,102.28,97.9
06-27-2023,103.39,98.66
06-28-2023,103.84,99.09
06-29-2023,104.59,99.67
06-30-2023,106.17,100.88
07-04-2023,105.9,101.17
07-05-2023,105.34,100.67
07-06-2023,104.63,99.2
07-07-2023,105.35,99.37
07-10-2023,105.75,99.32
07-11-2023,106.64,99.6
07-12-2023,107.54,100.57
07-13-2023,108.33,101.6
07-14-2023,107.97,101.53
07-17-2023,107.95,101.35
07-18-2023,108.84,102.1
07-19-2023,109.26,102.68
07-20-2023,109.01,102.4
07-21-2023,109.26,102.96
07-24-2023,109.81,103.13
07-25-2023,109.94,103.04
07-26-2023,109.95,103.1
07-27-2023,108.57,102.25
07-28-2023,109.36,102.94
07-31-2023,110.38,103.48
08-01-2023,110.02,103.01
08-02-2023,108.33,101.43
08-03-2023,108.2,100.94
08-04-2023,108.31,101.52
08-08-2023,108.02,101.37
08-09-2023,108.25,101.72
08-10-2023,108.45,102.06
08-11-2023,108.88,102.4
08-14-2023,108.68,101.87
08-15-2023,107.03,99.92
08-16-2023,106.57,99.92
08-17-2023,105.86,99.49
08-18-2023,106.07,99.53
08-21-2023,106.07,99.36
08-22-2023,106.34,98.91
08-23-2023,106.94,99.87
08-24-2023,106.05,99.35
08-25-2023,106.69,99.66
08-28-2023,107.44,100.61
08-29-2023,108.64,101.96
08-30-2023,108.62,102.21
08-31-2023,108.92,102.06
09-01-2023,109.42,103.33
09-05-2023,108.87,102.67
09-06-2023,108.07,101.73
09-07-2023,106.55,101.3
09-08-2023,106.34,101.01
09-11-2023,106.4,101.56
09-12-2023,106.51,101.76
09-13-2023,105.9,102.05
09-14-2023,107.03,103.62
09-15-2023,107.02,103.9
09-18-2023,106.56,103.25
09-19-2023,105.67,101.88
09-20-2023,105.46,101.86
09-21-2023,103.73,99.73
09-22-2023,103.88,99.68
09-25-2023,104.28,99.78
09-26-2023,103.37,98.55
09-27-2023,103.31,97.98
09-28-2023,104.13,98.86
09-29-2023,104.04,98.66
10-02-2023,102.74,96.82
10-03-2023,101.78,96.03
10-04-2023,101.61,96.1
10-05-2023,101.58,96.69
10-06-2023,102.25,97.23
10-10-2023,103.12,98.52
10-11-2023,103.49,99.34
10-12-2023,102.29,98.52
10-13-2023,101.72,98.33
10-16-2023,102.36,99.13
10-17-2023,102.61,99.49
10-18-2023,101.24,98.27
10-19-2023,100.22,97.75
10-20-2023,99.19,96.58
10-23-2023,98.59,96.24
10-24-2023,97.76,95.93
10-25-2023,97.59,95.81
10-26-2023,97.67,95.44
10-27-2023,97.65,94.78
10-30-2023,97.39,95.4
10-31-2023,97.94,95.49
11-01-2023,98.4,96.53
11-02-2023,100.84,99.3
11-03-2023,102.5,100.31
11-06-2023,101.75,99.9
11-07-2023,100.81,99.05
11-08-2023,101.42,98.82
11-09-2023,101.22,99.11
11-10-2023,101.78,99.45
11-13-2023,102.06,99.73
11-14-2023,103.44,101.39
11-15-2023,103.7,101.56
11-16-2023,102.74,101.56
11-17-2023,103.3,102.18
11-20-2023,103.76,102.54
11-21-2023,103.23,101.88
11-22-2023,103.08,101.9
11-23-2023,103.08,101.91
11-24-2023,103.31,101.84
11-27-2023,102.85,101.49
11-28-2023,102.97,101.53
11-29-2023,103.4,101.98
11-30-2023,103.47,102.64
12-01-2023,104.71,103.74
12-04-2023,104.38,103.52
12-05-2023,103.83,103.35
12-06-2023,103.5,102.86
12-07-2023,103.04,102.93
12-08-2023,103.32,103.22
12-11-2023,103.06,103.15
12-12-2023,102.46,102.73
12-13-2023,104.56,104.73
12-14-2023,106.21,105.58
12-15-2023,104.92,104.31
12-18-2023,105.2,104.78
12-19-2023,106.4,105.89
12-20-2023,105.34,104.68
12-21-2023,106.16,105.53
12-22-2023,106.14,106.12
12-27-2023,106.78,106.84
12-28-2023,106.72,106.51
12-29-2023,106.61,106.65
01-02-2024,106.23,106.26
01-03-2024,105.75,105.99
01-04-2024,105.89,106.26
01-05-2024,106.47,106.59
01-08-2024,107,107.29
01-09-2024,106.38,106.83
01-10-2024,106.35,106.93
01-11-2024,106.06,106.56
01-12-2024,106.44,106.93
01-15-2024,106.88,107.3
01-16-2024,105.88,106.72
01-17-2024,105.17,105.44
01-18-2024,105.65,105.76
01-19-2024,106.29,106.52
01-22-2024,106.58,106.61
01-23-2024,107.2,107.17
01-24-2024,107.82,107.2
01-25-2024,108.51,107.58
01-26-2024,109.05,107.71
01-29-2024,109.33,108.13
01-30-2024,109.24,108.28
01-31-2024,108.7,107.24
02-01-2024,108.39,107.74
02-02-2024,108.03,107.56
02-05-2024,106.54,106.48
02-06-2024,107.09,106.91
02-07-2024,107.27,106.97
02-08-2024,106.8,106.72
02-09-2024,107.08,107.18
02-12-2024,107.35,107.47
02-13-2024,104.79,105.01
02-14-2024,106.47,106.64
02-15-2024,108.73,108.35
02-16-2024,108.5,108.52
02-20-2024,107.25,108.33
02-21-2024,107.16,108.1
02-22-2024,107.56,108.85
02-23-2024,107.54,109.34
02-26-2024,107.5,108.88
02-27-2024,107.34,108.9
02-28-2024,107.08,108.56
02-29-2024,107.87,109.19
