Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
03-01-2021,100,100
03-02-2021,99.96,100.68
03-03-2021,100.53,100.14
03-04-2021,100.27,99.08
03-05-2021,101.56,100.48
03-08-2021,101.98,100.9
03-09-2021,102.28,101.7
03-10-2021,103.18,102.22
03-11-2021,103.8,103.06
03-12-2021,103.58,103.14
03-15-2021,103.57,103.71
03-16-2021,102.92,103.28
03-17-2021,103.76,103.87
03-18-2021,102.67,103.09
03-19-2021,103.16,103.19
03-22-2021,103.09,102.99
03-23-2021,101.87,102.19
03-24-2021,102.42,101.97
03-25-2021,102.51,102.11
03-26-2021,103.28,102.7
03-29-2021,103.17,102.52
03-30-2021,103.12,102.53
03-31-2021,102.64,102.51
04-01-2021,103.88,104.1
04-05-2021,104.31,104.34
04-06-2021,104.62,104.76
04-07-2021,104.34,104.9
04-08-2021,104.86,105.5
04-09-2021,104.82,105.5
04-12-2021,104.82,105.35
04-13-2021,104.56,105.36
04-14-2021,104.72,105.19
04-15-2021,105.15,106.02
04-16-2021,105.28,106.18
04-19-2021,105.14,105.37
04-20-2021,104.07,104.47
04-21-2021,104.26,105.1
04-22-2021,104.11,104.49
04-23-2021,104.55,104.88
04-26-2021,105.28,105.25
04-27-2021,105.09,105.28
04-28-2021,105.62,106.28
04-29-2021,105.49,105.74
04-30-2021,104.97,104.96
05-03-2021,105.8,105.53
05-04-2021,105.81,105.4
05-05-2021,107.06,106.07
05-06-2021,106.92,105.96
05-07-2021,108.02,106.96
05-10-2021,108.18,106.35
05-11-2021,107.16,105.87
05-12-2021,106.02,104.96
05-13-2021,105.85,105.18
05-14-2021,107.15,106.46
05-17-2021,107.97,107.07
05-18-2021,107.86,107.25
05-19-2021,106.65,106.76
05-20-2021,106.86,107.47
05-21-2021,107.08,107.39
05-25-2021,107.15,107.6
05-26-2021,108.37,108.61
05-27-2021,108.9,108.79
05-28-2021,109.48,109.23
05-31-2021,109.67,108.57
06-01-2021,111.18,109.92
06-02-2021,111.15,109.9
06-03-2021,111.41,109.76
06-04-2021,112.29,110.24
06-07-2021,111.77,110.27
06-08-2021,111.98,110.46
06-09-2021,111.66,110.14
06-10-2021,111.89,110.4
06-11-2021,112.71,110.89
06-14-2021,112.6,111.04
06-15-2021,112.66,111.45
06-16-2021,111.92,111.45
06-17-2021,109.86,110.99
06-18-2021,109.46,110.2
06-21-2021,110.61,111.07
06-22-2021,110.98,111.32
06-23-2021,110.9,111.12
06-24-2021,110.7,111.41
06-25-2021,111.18,111.53
06-28-2021,110.54,111.06
06-29-2021,111.25,111.3
06-30-2021,112.14,111.27
07-02-2021,112.59,111.6
07-05-2021,113.27,111.95
07-06-2021,112.92,112.05
07-07-2021,113.59,112
07-08-2021,113.36,110.79
07-09-2021,114.16,111.88
07-12-2021,114.01,111.74
07-13-2021,113.76,111.95
07-14-2021,113.12,111.27
07-15-2021,113.24,111.47
07-16-2021,112.48,110.38
07-19-2021,110.4,108.95
07-20-2021,111.79,110.14
07-21-2021,112.92,111.07
07-22-2021,112.73,111
07-23-2021,112.45,111.56
07-26-2021,112.68,111.43
07-27-2021,112.53,111.48
07-28-2021,112.6,111.8
07-29-2021,113.56,112.26
07-30-2021,113.55,112.16
08-03-2021,113.47,112.59
08-04-2021,113.69,112.39
08-05-2021,113.65,112.65
08-06-2021,114.33,113.2
08-09-2021,113.93,112.99
08-10-2021,114.96,113.31
08-11-2021,115.56,113.63
08-12-2021,115.06,113.52
08-13-2021,114.4,113.5
08-16-2021,113.71,113.33
08-17-2021,112.7,112.67
08-18-2021,112.55,112.35
08-19-2021,112.19,111.88
08-20-2021,113.01,112.57
08-23-2021,113.94,113.33
08-24-2021,114.34,113.74
08-25-2021,114.21,113.97
08-26-2021,114.14,113.51
08-27-2021,115.43,114.29
08-30-2021,115.66,114.05
08-31-2021,116.39,113.99
09-01-2021,117.09,114.59
09-02-2021,117.7,115.19
09-03-2021,117.83,115.34
09-07-2021,117.64,115.28
09-08-2021,117.98,114.93
09-09-2021,117.94,114.74
09-10-2021,118.37,114.34
09-13-2021,118.71,114.53
09-14-2021,118.1,113.95
09-15-2021,119.23,114.73
09-16-2021,119.15,114.25
09-17-2021,118.64,113.63
09-20-2021,116.26,111.77
09-21-2021,117.29,112.28
09-22-2021,118.87,113.15
09-23-2021,115.6,113.49
09-24-2021,118.07,113.18
09-27-2021,118.35,113.54
09-28-2021,116.93,112.03
09-29-2021,116.99,111.94
09-30-2021,116.65,111.46
10-01-2021,116.31,111.9
10-04-2021,117.32,111.4
10-05-2021,117.11,112.13
10-06-2021,115.93,112.17
10-07-2021,116.69,113.48
10-08-2021,116.64,113.48
10-12-2021,117.98,113.59
10-13-2021,118.81,114.6
10-14-2021,120.28,115.72
10-15-2021,120.11,116.32
10-18-2021,119.56,116.64
10-19-2021,119.87,117.21
10-20-2021,119.96,117.77
10-21-2021,120.25,117.91
10-22-2021,120.66,117.94
10-25-2021,120.38,118.38
10-26-2021,120.2,117.76
10-27-2021,118.7,116.54
10-28-2021,120.26,117.9
10-29-2021,119.65,117.05
11-01-2021,120.37,118.21
11-02-2021,119.43,117.79
11-03-2021,120.01,118.32
11-04-2021,120.26,118.74
11-05-2021,122.36,119.38
11-08-2021,123.4,119.94
11-09-2021,123.3,120.15
11-10-2021,122.48,119.41
11-11-2021,123.39,120.08
11-12-2021,124.13,121.19
11-15-2021,123.61,120.71
11-16-2021,123.76,120.91
11-17-2021,121.32,120.56
11-18-2021,120.25,120.48
11-19-2021,120.17,120.03
11-22-2021,119.96,119.28
11-23-2021,120.48,119.49
11-24-2021,120.6,120.02
11-25-2021,121.12,120.39
11-26-2021,118.82,117.67
11-29-2021,118.71,117.84
11-30-2021,116.17,115.15
12-01-2021,115.14,114.06
12-02-2021,115.74,115.76
12-03-2021,115.2,115.04
12-06-2021,115.64,116.31
12-07-2021,119.1,118
12-08-2021,117.71,117.54
12-09-2021,115.78,116.75
12-10-2021,116.06,116.55
12-13-2021,114.77,115.76
12-14-2021,113.79,115.25
12-15-2021,113.84,115.93
12-16-2021,114.54,115.76
12-17-2021,115.71,115.76
12-20-2021,114.74,114.65
12-21-2021,116.57,116.81
12-22-2021,116.74,117.62
12-23-2021,116.86,118.46
12-24-2021,116.92,118.55
12-29-2021,117.46,119.19
12-30-2021,118.31,119.03
12-31-2021,118.5,118.67
01-04-2022,118.65,118.75
01-05-2022,117.04,117.65
01-06-2022,117.39,117.83
01-07-2022,117.59,117.96
01-10-2022,117.59,117.89
01-11-2022,118.57,119.03
01-12-2022,119.03,119.7
01-13-2022,118.49,119.13
01-14-2022,119.26,119.49
01-17-2022,119.76,120.5
01-18-2022,118.76,119.03
01-19-2022,119.24,118.65
01-20-2022,118.04,117.83
01-21-2022,115.6,115.39
01-24-2022,114.75,115.11
01-25-2022,114.77,115.29
01-26-2022,114.81,115.32
01-27-2022,114.92,115.03
01-28-2022,115.01,116.15
01-31-2022,116.27,118.18
02-01-2022,118.32,119.42
02-02-2022,118.1,119.67
02-03-2022,117.32,118.16
02-04-2022,118.7,119.16
02-07-2022,118.07,118.95
02-08-2022,117.74,119.75
02-09-2022,119.11,121.02
02-10-2022,118.1,120.62
02-11-2022,118.08,120.71
02-14-2022,117.7,119.69
02-15-2022,118.72,120.53
02-16-2022,118.08,119.87
02-17-2022,116.66,118.71
02-18-2022,115.28,117.76
02-22-2022,114.53,117.23
02-23-2022,113.97,116.31
02-24-2022,115.08,116.43
02-25-2022,116.87,118.4
02-28-2022,117.24,118.51
03-01-2022,117.9,117.85
03-02-2022,118.77,119.27
03-03-2022,118.27,119.27
03-04-2022,119.4,120.13
03-07-2022,118.55,119.58
03-08-2022,118.83,119.18
03-09-2022,119.7,120.67
03-10-2022,120.31,121.19
03-11-2022,119.85,120.52
03-14-2022,117.01,119
03-15-2022,116.99,119.04
03-16-2022,118.84,120.63
03-17-2022,121.15,122.36
03-18-2022,120.99,122.63
03-21-2022,122,123.7
03-22-2022,122.39,124.08
03-23-2022,122.95,123.28
03-24-2022,122.45,123.33
03-25-2022,122.28,123.75
03-28-2022,121.92,123.6
03-29-2022,122.88,124.21
03-30-2022,122.98,124.25
03-31-2022,122.49,123.2
04-01-2022,123.07,123.56
04-04-2022,123.35,124.35
04-05-2022,121.63,123.48
04-06-2022,121.16,122.68
04-07-2022,121.6,123
04-08-2022,121.6,123.22
04-11-2022,120.63,122.75
04-12-2022,121.02,122.33
04-13-2022,121.89,123.02
04-14-2022,121.93,123.12
04-18-2022,122.11,123.25
04-19-2022,122.41,124.04
04-20-2022,122.56,123.93
04-21-2022,120.32,121.97
04-22-2022,117.94,119.42
04-25-2022,117.23,118.44
04-26-2022,114.57,116.63
04-27-2022,115.14,116.93
04-28-2022,116.85,119.07
04-29-2022,115.34,117.09
05-02-2022,115.2,116.7
05-03-2022,116.91,117.9
05-04-2022,118.84,119.48
05-05-2022,115.74,116.72
05-06-2022,114.55,116.37
05-09-2022,110.45,112.79
05-10-2022,109.92,112.17
05-11-2022,109.19,111.9
05-12-2022,108.4,111.19
05-13-2022,111.57,113.46
05-16-2022,112.45,114.07
05-17-2022,114.26,115.68
