Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
02-28-2014,100,100
03-03-2014,99.83,100.03
03-04-2014,100.13,100.57
03-05-2014,100.02,100.67
03-06-2014,100.23,100.47
03-07-2014,100.52,100.67
03-10-2014,100.59,100.7
03-11-2014,100.36,100.46
03-12-2014,100.54,100.9
03-13-2014,100.12,100.41
03-14-2014,99.99,100.29
03-17-2014,100.36,100.32
03-18-2014,101.17,101.29
03-19-2014,101.03,101.04
03-20-2014,101.29,101.24
03-21-2014,101.53,101.06
03-24-2014,101.27,100.66
03-25-2014,101.38,100.82
03-26-2014,100.7,100.03
03-27-2014,100.9,100.08
03-28-2014,101.51,100.7
03-31-2014,102.03,101.23
04-01-2014,102.34,101.6
04-02-2014,102.79,102.16
04-03-2014,102.42,101.75
04-04-2014,102.6,101.69
04-07-2014,101.87,100.82
04-08-2014,102.51,101.56
04-09-2014,102.95,102.01
04-10-2014,102.12,101.11
04-11-2014,101.93,100.76
04-14-2014,102.21,100.95
04-15-2014,102.34,101.09
04-16-2014,103.21,102.1
04-17-2014,103.64,102.48
04-21-2014,103.64,102.44
04-22-2014,103.86,102.94
04-23-2014,103.76,102.78
04-24-2014,103.89,102.93
04-25-2014,103.52,102.78
04-28-2014,103.67,102.79
04-29-2014,104.17,103.2
04-30-2014,104.62,103.68
05-01-2014,104.37,103.77
05-02-2014,105.07,104.48
05-05-2014,104.53,104
05-06-2014,103.93,103.4
05-07-2014,104.17,103.72
05-08-2014,103.17,102.94
05-09-2014,102.89,102.86
05-12-2014,103.76,103.72
05-13-2014,104.05,103.93
05-14-2014,103.95,103.89
05-15-2014,103.21,103.29
05-16-2014,102.71,102.77
05-20-2014,102.79,102.85
05-21-2014,103.6,103.76
05-22-2014,104.16,104.13
05-23-2014,104.35,104.17
05-26-2014,104.47,104.24
05-27-2014,104.15,103.83
05-28-2014,103.88,103.55
05-29-2014,104.07,103.4
05-30-2014,104.13,103.51
06-02-2014,104.72,104.08
06-03-2014,105.33,104.46
06-04-2014,105.7,104.9
06-05-2014,105.68,104.95
06-06-2014,106.11,105.24
06-09-2014,106.5,105.47
06-10-2014,106.56,105.7
06-11-2014,106.23,105.67
06-12-2014,106.64,105.85
06-13-2014,107.43,106.5
06-16-2014,107.64,106.78
06-17-2014,107.61,106.9
06-18-2014,108.03,107.28
06-19-2014,108.09,107.3
06-20-2014,108.41,107.28
06-23-2014,108.38,107.26
06-24-2014,107.54,106.25
06-25-2014,107.54,106.36
06-26-2014,108.07,106.85
06-27-2014,108.58,107.35
06-30-2014,109.02,107.72
07-02-2014,109.53,108.17
07-03-2014,109.66,108.16
07-04-2014,109.83,108.21
07-07-2014,109.34,107.97
07-08-2014,109.02,107.71
07-09-2014,109.32,108.29
07-10-2014,108.68,107.57
07-11-2014,108.34,107.65
07-14-2014,108.98,107.98
07-15-2014,108.1,107.34
07-16-2014,109.24,108.37
07-17-2014,108.78,108.22
07-18-2014,109.2,108.66
07-21-2014,109.24,108.55
07-22-2014,109.69,109.07
07-23-2014,110.06,109.64
07-24-2014,110.04,109.64
07-25-2014,110.33,110.07
07-28-2014,110.01,110
07-29-2014,110.19,110.05
07-30-2014,111.03,110.63
07-31-2014,110.04,109.25
08-01-2014,109.1,108.43
08-05-2014,108.96,108.23
08-06-2014,109.06,108.33
08-07-2014,108.37,107.74
08-08-2014,109.03,108.3
08-11-2014,109.26,108.76
08-12-2014,109.21,108.85
08-13-2014,109.13,108.8
08-14-2014,109,109
08-15-2014,109.06,109.11
08-18-2014,109.03,109.36
08-19-2014,110.11,110.36
08-20-2014,110.63,110.98
08-21-2014,111.2,110.95
08-22-2014,111.09,110.8
08-25-2014,111.34,111.27
08-26-2014,111.47,111.42
08-27-2014,111.27,111.36
08-28-2014,110.97,111.05
08-29-2014,111.61,111.53
09-02-2014,111.27,111.51
09-03-2014,111.5,111.79
09-04-2014,110.7,111.21
09-05-2014,110.86,111.18
09-08-2014,110.15,110.76
09-09-2014,110.21,110.96
09-10-2014,109.9,110.53
09-11-2014,110.33,111.04
09-12-2014,110.41,111.02
09-15-2014,110.18,110.67
09-16-2014,110.37,110.88
09-17-2014,109.96,110.51
09-18-2014,109.64,110.56
09-19-2014,108.12,109.13
09-22-2014,107.06,108.16
09-23-2014,107.17,108.15
09-24-2014,107.35,108.11
09-25-2014,105.69,106.51
09-26-2014,106.65,107.56
09-29-2014,106.47,107.2
09-30-2014,106.39,107.09
10-01-2014,105.42,106.03
10-02-2014,105.12,105.71
10-03-2014,105.12,105.96
10-06-2014,104.69,105.63
10-07-2014,103.73,104.43
10-08-2014,104.48,105.08
10-09-2014,103.18,103.62
10-10-2014,101.7,101.96
10-14-2014,100.36,100.59
10-15-2014,99.35,99.4
10-16-2014,100.61,100.71
10-17-2014,101.78,101.96
10-20-2014,102.38,102.76
10-21-2014,103.75,104.26
10-22-2014,102.32,102.58
10-23-2014,103.51,103.9
10-24-2014,103.44,104.3
10-27-2014,102.58,103.77
10-28-2014,103.71,104.88
10-29-2014,103.26,104.22
10-30-2014,102.97,103.76
10-31-2014,104.09,104.87
11-03-2014,103.46,104.33
11-04-2014,102.48,103.27
11-05-2014,104.13,104.41
11-06-2014,104.36,104.52
11-07-2014,105.3,105.43
11-10-2014,105.57,105.57
11-11-2014,105.95,105.93
11-12-2014,106.79,106.64
11-13-2014,105.99,106.09
11-14-2014,106.62,106.55
11-17-2014,106.65,106.83
11-18-2014,106.93,107.5
11-19-2014,106.85,107.57
11-20-2014,107.76,108.25
11-21-2014,108.2,108.53
11-24-2014,107.64,107.86
11-25-2014,107.97,108.29
11-26-2014,107.53,108.09
11-27-2014,106.54,107.26
11-28-2014,106.07,105.98
12-01-2014,105.54,105.16
12-02-2014,105.41,105.12
12-03-2014,106,106.09
12-04-2014,103.64,104.04
12-05-2014,103.95,104.07
12-08-2014,101.8,101.72
12-09-2014,102.14,102.12
12-10-2014,99.78,99.67
12-11-2014,99.88,100.12
12-12-2014,98.76,98.87
12-15-2014,98.61,98.69
12-16-2014,99.71,99.82
12-17-2014,101.99,102.36
12-18-2014,102.43,103.32
12-19-2014,103.35,104.2
12-22-2014,103.1,103.94
12-23-2014,104.11,105.14
12-24-2014,104.08,105.25
12-29-2014,104.29,105.74
12-30-2014,103.95,105.57
12-31-2014,103.97,105.52
01-02-2015,104.72,106.49
01-05-2015,102.27,103.88
01-06-2015,101.27,102.83
01-07-2015,101.67,103.11
01-08-2015,102.89,104.35
01-09-2015,102.42,103.83
01-12-2015,101.48,102.96
01-13-2015,101.34,102.43
01-14-2015,100.68,101.69
01-15-2015,100.34,101.38
01-16-2015,102.24,103.33
01-19-2015,102.01,103.35
01-20-2015,101.58,103.32
01-21-2015,103.23,105.15
01-22-2015,104.26,106.68
01-23-2015,104.61,106.79
01-26-2015,104.77,106.93
01-27-2015,104.98,107.19
01-28-2015,103.23,105.55
01-29-2015,103.63,105.83
01-30-2015,103.93,106.09
02-02-2015,105.49,107.74
02-03-2015,106.53,108.91
02-04-2015,105.82,108.43
02-05-2015,106.96,109.36
02-06-2015,106.94,109.06
02-09-2015,107.28,109.19
02-10-2015,107.12,109.27
02-11-2015,107.53,109.58
02-12-2015,107.91,110.15
