Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
11-29-2023,100,100
11-30-2023,100.07,100.64
12-01-2023,101.27,101.72
12-04-2023,100.95,101.51
12-05-2023,100.42,101.34
12-06-2023,100.1,100.86
12-07-2023,99.66,100.93
12-08-2023,99.92,101.21
12-11-2023,99.68,101.14
12-12-2023,99.09,100.73
12-13-2023,101.13,102.7
12-14-2023,102.72,103.52
12-15-2023,101.47,102.28
12-18-2023,101.74,102.74
12-19-2023,102.9,103.83
12-20-2023,101.88,102.65
12-21-2023,102.67,103.48
12-22-2023,102.66,104.06
12-27-2023,103.27,104.76
12-28-2023,103.21,104.43
12-29-2023,103.1,104.58
01-02-2024,102.74,104.19
01-03-2024,102.27,103.93
01-04-2024,102.41,104.19
01-05-2024,102.97,104.52
01-08-2024,103.49,105.21
01-09-2024,102.89,104.75
01-10-2024,102.85,104.84
01-11-2024,102.57,104.49
01-12-2024,102.94,104.85
01-15-2024,103.37,105.21
01-16-2024,102.4,104.64
01-17-2024,101.72,103.39
01-18-2024,102.18,103.7
01-19-2024,102.8,104.45
01-22-2024,103.07,104.54
01-23-2024,103.67,105.09
01-24-2024,104.27,105.11
01-25-2024,104.94,105.49
01-26-2024,105.46,105.61
01-29-2024,105.74,106.02
01-30-2024,105.65,106.18
01-31-2024,105.12,105.15
02-01-2024,104.83,105.64
02-02-2024,104.48,105.47
02-05-2024,103.04,104.4
02-06-2024,103.57,104.83
02-07-2024,103.74,104.89
02-08-2024,103.29,104.64
02-09-2024,103.56,105.09
02-12-2024,103.82,105.38
02-13-2024,101.34,102.97
02-14-2024,102.97,104.56
02-15-2024,105.15,106.24
02-16-2024,104.93,106.41
02-20-2024,103.73,106.22
02-21-2024,103.64,106
02-22-2024,104.03,106.73
02-23-2024,104.01,107.21
02-26-2024,103.97,106.76
02-27-2024,103.81,106.78
02-28-2024,103.56,106.45
02-29-2024,104.33,107.07
