Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
01-29-2024,100,100
01-30-2024,99.92,100.15
01-31-2024,99.42,99.18
02-01-2024,99.14,99.64
02-02-2024,98.81,99.48
02-05-2024,97.44,98.47
02-06-2024,97.95,98.88
02-07-2024,98.11,98.93
02-08-2024,97.69,98.7
02-09-2024,97.94,99.12
02-12-2024,98.19,99.4
02-13-2024,95.84,97.12
02-14-2024,97.38,98.62
02-15-2024,99.45,100.21
02-16-2024,99.24,100.36
02-20-2024,98.1,100.19
02-21-2024,98.01,99.98
02-22-2024,98.38,100.67
02-23-2024,98.36,101.12
02-26-2024,98.32,100.7
02-27-2024,98.18,100.72
02-28-2024,97.94,100.41
02-29-2024,98.67,100.99
